类别名称,类别数,检出数,误检数,检出率,漏检率,AP
铲锹,61,50.0,14.0,0.8196721177102931,0.21874999658203131,0.7866677287798555
输液瓶,77,50.0,173.0,0.6493506409175241,0.7757847498843733,0.21145405092179761
摩丝,57,28.0,21.0,0.49122806155740245,0.4285714198250731,0.41623193319424445
沐浴露,26,4.0,34.0,0.15384614792899431,0.8947368185595574,0.07471264080459782
枪支配件,26,0.0,37.0,0.0,0.9999999729729737,0.0
陶瓷刀,18,0.0,25.0,0.0,0.9999999600000016,0.0
塑料花露水,14,3.0,36.0,0.21428569897959293,0.9230768994082847,0.025714283877551154
锉刀,35,25.0,4.0,0.7142856938775517,0.13793102972651622,0.7098900896075361
烙铁,28,19.0,0.0,0.6785714043367356,0.0,0.6785714043367356
洗发水,8,1.0,21.0,0.12499998437500197,0.9545454111570267,0.011363634943181997
泥瓦刀,6,0.0,70.0,0.0,0.9999999857142859,0.0
固体酒精,7,6.0,1.0,0.857142734693895,0.1428571224489825,0.857142734693895
sum,30319,23267.0,5336.0,0.76740657670875,0.17599525049718015,0.6184279177493539
